species,quintile,freq_khz,mean_TS,se_TS
LT,q100,167.5,-28.2151056,0.9584589077287106
LT,q100,168,-28.65028924,0.9110417215110809
LT,q100,168.5,-29.10987192,0.8731291164748697
LT,q100,169,-29.38747724,0.870093390171071
LT,q100,169.5,-29.6158498,0.881707461158919
LT,q100,170,-29.9894868,0.9064981521306354
SMB,q20,45,-61.39487225,0.7934989432806192
SMB,q20,45.5,-61.09855698125,0.7882208956336066
SMB,q20,46,-60.69612151875,0.7273003594613715
SMB,q20,46.5,-60.212040781249996,0.7067596061583888
SMB,q20,47,-60.259761425,0.7133195898645246
SMB,q20,47.5,-60.30160951875,0.7460279613819192
SMB,q20,48,-60.29842674375,0.7669748773576874
SMB,q20,48.5,-60.1621795375,0.7384922616546382
SMB,q20,49,-59.8225934,0.7050157262342602
SMB,q20,49.5,-59.67215573125,0.6866871984946907
SMB,q20,50,-59.4569471625,0.6462091061247787
SMB,q20,50.5,-59.19288016875,0.5820803655816447
SMB,q20,51,-58.9303583875,0.5356853095266653
SMB,q20,51.5,-58.57663434375,0.5182333841320732
SMB,q20,52,-58.36607545,0.5304877810554723
SMB,q20,52.5,-58.2520306375,0.5655736085925805
SMB,q20,53,-58.17095485625,0.5745567408398626
SMB,q20,53.5,-58.04387926875,0.574852079645497
SMB,q20,54,-57.85133503125,0.565930525832974
SMB,q20,54.5,-57.63312721875,0.5447603078147573
SMB,q20,55,-57.5083668375,0.5503129263283646
SMB,q20,55.5,-57.448643125,0.5667552262127871
SMB,q20,56,-57.2964685875,0.6034673374312883
SMB,q20,56.5,-57.1843271,0.6451162714051745
SMB,q20,57,-56.992725156249996,0.6793773950095328
SMB,q20,57.5,-56.86286605,0.7128366537235821
SMB,q20,58,-56.690801137499996,0.7119877423300448
SMB,q20,58.5,-56.3265788625,0.6910442825520333
SMB,q20,59,-55.969580737499996,0.6951363016193512
SMB,q20,59.5,-55.7551298125,0.6810715734138721
SMB,q20,60,-55.570879687499996,0.6823327739086651
SMB,q20,60.5,-55.30823244375,0.6877926092044696
SMB,q20,61,-54.9236911625,0.6645107655663601
SMB,q20,61.5,-54.74248708125,0.6290484462068425
SMB,q20,62,-54.52773671875,0.5773693853695453
SMB,q20,62.5,-54.263886675,0.5491489030481838
SMB,q20,63,-54.165972975,0.5660717635116175
